Authors,URL,Title,Published,Data collected (first),Data collected (last),Location Description,Latitude,Longitude,Region,Type of Fish,Sex of Sample (if only one sample),Number of Samples,Length of Fish (cm),Weight of Fish (g),Age (years),Conc Hg Fish [ug/g],,Conc Hg Sediment [ug/g],Main Findings/Comments
"Martin Lodenius, Ari Seppänen, Matti Herranen",https://link.springer.com/article/10.1007/BF00599051,Accumulation of mercury in fish and man from reservoirs in northern Finland,1982,,,Luirojärvi,68.2167,28.05,Northern Europe,Roach (rutilus rutilus),,,,30,,0.2,,,
"Martin Lodenius, Ari Seppänen, Matti Herranen",https://link.springer.com/article/10.1007/BF00599051,Accumulation of mercury in fish and man from reservoirs in northern Finland,1982,,,Luirojärvi,68.2167,28.05,Northern Europe,Whitefish (coregonus lavaretus s.I),,,,96,,0.05,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1989,1992,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largemouth Bass (micropterus salmoides),,,34,574,4,0.63,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1989,1992,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largemouth Bass (micropterus salmoides),,,40.1,1259,4.2,0.58,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1989,1992,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Bluegill (leponis macrochirus),,,22.9,265,,0.09,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1989,1992,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Redear sunfish (L. microlophus),,,24.2,400,,0.05,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1989,1992,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Yellow bullhead (ictalurus natalis),,,48.3,1551,,0.1,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1989,1992,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Brown bullhead (I. nebulosus),,,33.6,600,,0.03,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1989,1992,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Black crappie (pomoxis nigromaculatus),,,29.9,450,,0.16,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1989,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,,,,0.67,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1989,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,,,,0.71,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1990,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,,,,0.58,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1990,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,,,,0.53,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1990,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,,,,0.52,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1992,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,,,,0.53,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1990,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,55.6,3308,6,0.86,,,"All females, data on Ovaries also available."
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1990,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,55.4,2971,6,0.53,,,Data here from fillet. 
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1990,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,44.5,1706,6,0.66,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1990,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,,,5,0.56,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1990,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,49,2098,4,0.59,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1990,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,48.8,2000,4,0.53,,,
"T.R. Lange,  H.E. Royals, L.L. Connor",https://link.springer.com/article/10.1007/BF00214837,Mercury Accumulation in Largemouth Bass (Micropterus salmoides) in a Florida Lake,1994,1990,,"Lake Tohopekaliga, Florida",28.1689,-81.39,North America,Largmouth bass (micropterus salmoides),,,47.6,2031,4,0.73,,,
"Douglas H. Adams, Robert H. McMichael Jr. ",https://www.st.nmfs.noaa.gov/spo/FishBull/14adamsf.pdf,Mercury levels in four species of sharks from the Atlantic coast of Florida,1999,1992,1995,Indian River Lagoon System between Oak Hill and Ft. Pierce Inlet,28.1043,-80.596,North America,Bull shark (carcharhinus leucas),,,755.6,,,0.77,,,Coordinates an estimate of midpoind of the range
"Douglas H. Adams, Robert H. McMichael Jr. ",https://www.st.nmfs.noaa.gov/spo/FishBull/14adamsf.pdf,Mercury levels in four species of sharks from the Atlantic coast of Florida,1999,1992,1995,Between Cape Canaveral and Sebastian Inlet/Wabasso Fl. ,28.1049,-80.597,North America,Blacktip shark (carcharhinus limbaticus),,,939.6,,,0.77,,,Coordinates an estimate of midpoind of the range
"Douglas H. Adams, Robert H. McMichael Jr. ",https://www.st.nmfs.noaa.gov/spo/FishBull/14adamsf.pdf,Mercury levels in four species of sharks from the Atlantic coast of Florida,1999,1992,1995,Between Cape Canaveral and Sebastian Inlet/Wabasso Fl. ,28.1049,-80.597,North America,Blacktip shark (carcharhinus limbaticus),,,228.7,,,0.69,,,
"Douglas H. Adams, Robert H. McMichael Jr. ",https://www.st.nmfs.noaa.gov/spo/FishBull/14adamsf.pdf,Mercury levels in four species of sharks from the Atlantic coast of Florida,1999,1992,1995,Between Cape Canaveral and Sebastian Inlet/Wabasso Fl. ,28.1049,-80.597,North America,Atlantic sharpnose shark (rhizoprionodon terraenovoae),,,591.6,,,1.06,,,
"Douglas H. Adams, Robert H. McMichael Jr. ",https://www.st.nmfs.noaa.gov/spo/FishBull/14adamsf.pdf,Mercury levels in four species of sharks from the Atlantic coast of Florida,1999,1992,1995,Between Cape Canaveral and Sebastian Inlet/Wabasso Fl. ,28.1049,-80.597,North America,Atlantic sharpnose shark (rhizoprionodon terraenovoae),,,80.3,,,0.22,,,
"Douglas H. Adams, Robert H. McMichael Jr. ",https://www.st.nmfs.noaa.gov/spo/FishBull/14adamsf.pdf,Mercury levels in four species of sharks from the Atlantic coast of Florida,1999,1992,1995,Between Cape Canaveral and Sebastian Inlet/Wabasso Fl. ,28.1049,-80.597,North America,Bonnethead shark (sphyrna tiburo),,,590.3,,,0.5,,,
"Douglas H. Adams, Robert H. McMichael Jr. ",https://www.st.nmfs.noaa.gov/spo/FishBull/14adamsf.pdf,Mercury levels in four species of sharks from the Atlantic coast of Florida,1999,1992,1995,Between Cape Canaveral and Sebastian Inlet/Wabasso Fl. ,28.1049,-80.597,North America,Bonnethead shark (sphyrna tiburo),,,232.1,,,0.16,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Bluefish (pomatomus saltatrix),,,37.1,850,,0.64,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Crevalle jack (caranx hippos),,,33.1,1374,,0.6,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Common snook (centropomus undecimalis),,,63.4,4076,,0.39,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Gafftopsail catfish (bagre marinus),,,39.3,1295,,0.59,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Gray snapper (lutjanus griseus),,,25.9,435,,0.2,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Pompano (trachinotus carolinus),,,28,719,,0.09,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Red drum (scianops ocellatus),,,41.6,1646,,0.21,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Sheepshead (archosargus probatocephalus),,,23.9,669,,0.2,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Southern flounder (paralichthys lethostigma),,,33.5,780,,0.23,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Spadefish (chaetodipterus faber),,,28.6,1150,,0.22,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Indian River Lagoon,27.3882,-80.282,North America,Spotted seatrout (cynoscion nebulosus),,,36,787,,0.26,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Eastern Florida Bay,25.1261,-80.555,North America,Bonnethead shark (sphyrna tiburo),,,39.5,616,,0.65,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Eastern Florida Bay,25.1261,-80.555,North America,Crevalle jack (caranx hippos),,,23.4,377,,1,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Eastern Florida Bay,25.1261,-80.555,North America,Common snook (centropomus undecimalis),,,52,2289,,0.52,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Eastern Florida Bay,25.1261,-80.555,North America,Gray snapper (lutjanus griseus),,,23.2,368,,0.35,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Eastern Florida Bay,25.1261,-80.555,North America,Mayan cichlid (cichlassoma urophthalmus),,,13.3,103,,0.44,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Eastern Florida Bay,25.1261,-80.555,North America,Red drum (scianops ocellatus),,,42.1,1514,,0.3,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Eastern Florida Bay,25.1261,-80.555,North America,Spotted seatrout (cynoscion nebulosus),,,34.2,740,,0.96,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Black drum (pogonias cromis),,,37.7,2055,,0.14,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Bluefish (pomatomus saltatrix),,,45,2268,,0.68,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Bonnethead shark (sphyrna tiburo),,,32,306,,0.23,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Crevalle jack (caranx hippos),,,26.3,555,,0.37,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Common snook (centropomus undecimalis),,,49.8,1653,,0.39,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Gafftopsail catfish (bagre marinus),,,27.5,382,,0.57,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Gray snapper (lutjanus griseus),,,21.5,297,,0.11,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Red drum (scianops ocellatus),,,43.5,1552,,0.18,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Sheepshead (archosargus probatocephalus),,,21.1,380,,0.2,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Southern flounder (paralichthys lethostigma),,,22.5,265,,0.16,,,
Douglas G. Strom and Gregory A. Graves,https://link.springer.com/article/10.2307/1353260,"A Comparison of Mercury in Estuarine Fish between Florida Bay and the Indian River Lagoon, Florida, USA",2001,1989,1999,Western Florida Bay,25.0764,-80.954,North America,Spotted seatrout (cynoscion nebulosus),,,29.2,448,,0.21,,,
Ramon Chvojka,https://www.sciencedirect.com/science/article/pii/0025326X88902329,"Mercury and Selenium in Axial White Muscle of Yellowtail Kingfish from Sydney, Australia",1988,1977,1978,10km offshore from Sydney,-33.857,151.397,Australasia,Yellowtail kingfish (seriola lalandi),,,59.2,,,0.15,,,Coordinates estimates of a point 10km offshore of Sydney Harbour
R. Chvojka and R.J. Williams,http://www.publish.csiro.au/MF/MF9800469,Mercury Levels in Six Species of Australian Commercial Fish,1980,,,New South Wales waters,-33.44,151.512,Australasia,John dory (zeus Faber),,,29.85,,,0.151,,,Total length
R. Chvojka and R.J. Williams,http://www.publish.csiro.au/MF/MF9800469,Mercury Levels in Six Species of Australian Commercial Fish,1980,,,New South Wales waters,-33.44,151.512,Australasia,Mirror dory (zenopsis nebulosa),,,42.5,,,0.145,,,
R. Chvojka and R.J. Williams,http://www.publish.csiro.au/MF/MF9800469,Mercury Levels in Six Species of Australian Commercial Fish,1980,,,New South Wales waters,-33.44,151.512,Australasia,Tiger flathead (platycephalus richardsoni),,,43.19,,,0.236,,,
R. Chvojka and R.J. Williams,http://www.publish.csiro.au/MF/MF9800469,Mercury Levels in Six Species of Australian Commercial Fish,1980,,,New South Wales waters,-33.44,151.512,Australasia,Rubberlip morwong (nemadactylus douglasii),,,37.68,,,0.222,,,Caudal fork length
R. Chvojka and R.J. Williams,http://www.publish.csiro.au/MF/MF9800469,Mercury Levels in Six Species of Australian Commercial Fish,1980,,,New South Wales waters,-33.44,151.512,Australasia,Jackass morwong (nemadactylus macropterus),,,38.98,,,0.267,,,
R. Chvojka and R.J. Williams,http://www.publish.csiro.au/MF/MF9800469,Mercury Levels in Six Species of Australian Commercial Fish,1980,,,New South Wales waters,-33.44,151.512,Australasia,Sand whiting (sillago cilita),,,35.11,,,0.304,,,
"R. Chvojka, R.J. Williams, S. Frederickson",https://www.sciencedirect.com/science/article/pii/0025326X90906058,"Methyl Mercury, Total Mercury, and Selenium in Snapper From Two Areas of the New South Wales Coast, Australia",1990,1976,,Sydney Area,-33.854,151.238,Australasia,Snapper (chrysophrys auratus),,,33.2,1021,,0.32,,,
"R. Chvojka, R.J. Williams, S. Frederickson",https://www.sciencedirect.com/science/article/pii/0025326X90906058,"Methyl Mercury, Total Mercury, and Selenium in Snapper From Two Areas of the New South Wales Coast, Australia",1990,1976,,Nowra Area,-34.864,150.606,Australasia,Snapper (chrysophrys auratus),,,34.3,1243,,0.11,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Rotorua,-38.083,176.267,Australasia,Rainbow trout (salmo gairdneri) ,,,,890,,0.85,,,Fish liver data also available. 
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Rotoiti,-41.825,172.838,Australasia,Rainbow trout (salmo gairdneri) ,,,,880,,1,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Rotoehu,-38.017,176.533,Australasia,Rainbow trout (salmo gairdneri) ,,,,1030,,0.22,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Rotoma,-38.048,176.588,Australasia,Rainbow trout (salmo gairdneri) ,,,,830,,0.24,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Okataina,-38.117,176.417,Australasia,Rainbow trout (salmo gairdneri) ,,,,1130,,0.38,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Okareka,-38.167,176.367,Australasia,Rainbow trout (salmo gairdneri) ,,,,540,,0.24,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Tikitapu,-38.2,176.333,Australasia,Rainbow trout (salmo gairdneri) ,,,,770,,0.3,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Rotokakahi,-38.217,176.333,Australasia,Rainbow trout (salmo gairdneri) ,,,,2050,,0.25,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Rotomahana,-38.267,176.45,Australasia,Rainbow trout (salmo gairdneri) ,,,,1020,,2.1,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Rerewhakaaitu,-38.3,176.5,Australasia,Rainbow trout (salmo gairdneri) ,,,,2100,,0.46,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Waikaremoana,-38.767,177.083,Australasia,Rainbow trout (salmo gairdneri) ,,,,1110,,0.63,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Waikareiti,-38.71,177.174,Australasia,Rainbow trout (salmo gairdneri) ,,,,800,,0.48,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Reporoa,-38.417,176.333,Australasia,Rainbow trout (salmo gairdneri) ,,,,,,2.8,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Ohakuri,-38.423,176.126,Australasia,Rainbow trout (salmo gairdneri) ,,,,900,,0.37,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Atiamuri,-38.394,176.028,Australasia,Rainbow trout (salmo gairdneri) ,,,,3020,,0.34,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Whakamaru,-38.42,175.8,Australasia,Rainbow trout (salmo gairdneri) ,,,,1480,,0.32,,,
"R.R. Brooks, J.R. Lewis, R.D. Reeves",https://www.tandfonline.com/doi/abs/10.1080/00288330.1976.9515610,"Mercury and other heavy metals in trout of central North Island, New Zealand",1976,1973,,Lake Maraetai,-38.366,175.786,Australasia,Rainbow trout (salmo gairdneri) ,,,,1480,,1.4,,,
"T. Robertson, G.D.Waugh, J.C.M. Mol",https://www.tandfonline.com/doi/abs/10.1080/00288330.1975.9515565,Mercury levels in New Zealand snapper (Chrysophrys auratus),1975,1973,,Auckland (East Coast),-36.732,174.865,Australasia,Snapper (chrysophrys auratus),,,40,,,0.42,,,Coordinates rough estimates
"T. Robertson, G.D.Waugh, J.C.M. Mol",https://www.tandfonline.com/doi/abs/10.1080/00288330.1975.9515565,Mercury levels in New Zealand snapper (Chrysophrys auratus),1975,1973,,Auckland (West Coast),-36.954,174.394,Australasia,Snapper (chrysophrys auratus),,,42,,,0.28,,,
"T. Robertson, G.D.Waugh, J.C.M. Mol",https://www.tandfonline.com/doi/abs/10.1080/00288330.1975.9515565,Mercury levels in New Zealand snapper (Chrysophrys auratus),1975,1973,,Tauranga (from W. Bay of Plenty),-37.562,176.341,Australasia,Snapper (chrysophrys auratus),,,45,,,0.72,,,
"T. Robertson, G.D.Waugh, J.C.M. Mol",https://www.tandfonline.com/doi/abs/10.1080/00288330.1975.9515565,Mercury levels in New Zealand snapper (Chrysophrys auratus),1975,1973,,Gisborne (from E. Bay of Plenty),-38.725,178.075,Australasia,Snapper (chrysophrys auratus),,,41,,,0.63,,,
"T. Robertson, G.D.Waugh, J.C.M. Mol",https://www.tandfonline.com/doi/abs/10.1080/00288330.1975.9515565,Mercury levels in New Zealand snapper (Chrysophrys auratus),1975,1973,,Southern Hawkes Bay Coast,-39.518,176.956,Australasia,Snapper (chrysophrys auratus),,,48,,,0.3,,,
"T. Robertson, G.D.Waugh, J.C.M. Mol",https://www.tandfonline.com/doi/abs/10.1080/00288330.1975.9515565,Mercury levels in New Zealand snapper (Chrysophrys auratus),1975,1973,,Wanganui,-40.028,174.917,Australasia,Snapper (chrysophrys auratus),,,,,,0.35,,,
